
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_15p_5%_NP0_50V          C642                             181   1   1   1   1 1      1 0 XSIG011683          5009409
CAP-0402_15p_5%_NP0_50V          C642                             181   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C741                             186   1   1   1   1 1      1 0 XSIG011770          5287937
CAP-0402_15p_5%_NP0_50V          C741                             186   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_15p_5%_NP0_50V          C742                             180   1   1   1   1 1      1 0 XSIG011768          5283841
CAP-0402_15p_5%_NP0_50V          C742                             180   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_22n_10%_X7R_16V         C270                              84   1   1   1   1 1      1 0 XSIG010033          118785
CAP-0402_22n_10%_X7R_16V         C270                              84   1   2   1   1 2      2 0 XSIG010042          151553
CAP-0402_22n_10%_X7R_16V         C272                              87   1   1   1   1 1      1 0 XSIG010043          155649
CAP-0402_22n_10%_X7R_16V         C272                              87   1   2   1   1 2      2 0 XSIG010034          122881
CAP-0402_22n_10%_X7R_16V         C370                              83   1   1   1   1 1      1 0 XSIG010409          1138689
CAP-0402_22n_10%_X7R_16V         C370                              83   1   2   1   1 2      2 0 XSIG010418          1171457
CAP-0402_22n_10%_X7R_16V         C372                              86   1   1   1   1 1      1 0 XSIG010419          1175553
CAP-0402_22n_10%_X7R_16V         C372                              86   1   2   1   1 2      2 0 XSIG010410          1142785
CAP-0402_22n_10%_X7R_16V         C470                              82   1   1   1   1 1      1 0 XSIG010472          1331201
CAP-0402_22n_10%_X7R_16V         C470                              82   1   2   1   1 2      2 0 XSIG010481          1363969
CAP-0402_22n_10%_X7R_16V         C472                              85   1   1   1   1 1      1 0 XSIG010482          1368065
CAP-0402_22n_10%_X7R_16V         C472                              85   1   2   1   1 2      2 0 XSIG010473          1335297
CAP-0402_22n_10%_X7R_16V         C570                              81   1   1   1   1 1      1 0 XSIG010526          1503233
CAP-0402_22n_10%_X7R_16V         C570                              81   1   2   1   1 2      2 0 XSIG010535          1536001
CAP-0402_22n_10%_X7R_16V         C572                              88   1   1   1   1 1      1 0 XSIG010536          1540097
CAP-0402_22n_10%_X7R_16V         C572                              88   1   2   1   1 2      2 0 XSIG010527          1507329
CAP-0402_22n_10%_X7R_16V         C670                              80   1   1   1   1 1      1 0 XSIG010580          1675265
CAP-0402_22n_10%_X7R_16V         C670                              80   1   2   1   1 2      2 0 XSIG010589          1708033
CAP-0402_22n_10%_X7R_16V         C672                              89   1   1   1   1 1      1 0 XSIG010590          1712129
CAP-0402_22n_10%_X7R_16V         C672                              89   1   2   1   1 2      2 0 XSIG010581          1679361
CAP-0402_22n_10%_X7R_16V         C770                              79   1   1   1   1 1      1 0 XSIG010634          1847297
CAP-0402_22n_10%_X7R_16V         C770                              79   1   2   1   1 2      2 0 XSIG010643          1880065
CAP-0402_22n_10%_X7R_16V         C772                              90   1   1   1   1 1      1 0 XSIG010644          1884161
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_22n_10%_X7R_16V         C772                              90   1   2   1   1 2      2 0 XSIG010635          1851393
CAP-0402_100n_10%_X7R_16V        C209                             228   1   1   1   1 1      1 0 V_CAN.1             7372801
CAP-0402_100n_10%_X7R_16V        C209                             228   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C309                             229   1   1   1   1 1      1 0 V_CAN.2             7577601
CAP-0402_100n_10%_X7R_16V        C309                             229   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C409                             230   1   1   1   1 1      1 0 V_CAN.3             7168001
CAP-0402_100n_10%_X7R_16V        C409                             230   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C509                             233   1   1   1   1 1      1 0 V_CAN.4             6672385
CAP-0402_100n_10%_X7R_16V        C509                             233   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C567                             236   1   1   1   1 1      1 0 VM.4                7897089
CAP-0402_100n_10%_X7R_16V        C567                             236   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C569                             238   1   1   1   1 1      1 0 V_MOT.4             2871297
CAP-0402_100n_10%_X7R_16V        C569                             238   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C576                             240   1   1   1   1 1      1 0 V_H.4               6078465
CAP-0402_100n_10%_X7R_16V        C576                             240   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C609                             232   1   1   1   1 1      1 0 V_CAN.5             6877185
CAP-0402_100n_10%_X7R_16V        C609                             232   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C666                             241   1   1   1   1 1      1 0 V_H.5               6098945
CAP-0402_100n_10%_X7R_16V        C666                             241   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C667                             235   1   1   1   1 1      1 0 VM.5                7843841
CAP-0402_100n_10%_X7R_16V        C667                             235   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C669                             237   1   1   1   1 1      1 0 V_MOT.5             3063809
CAP-0402_100n_10%_X7R_16V        C669                             237   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C709                             231   1   1   1   1 1      1 0 V_CAN.6             6467585
CAP-0402_100n_10%_X7R_16V        C709                             231   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C767                             234   1   1   1   1 1      1 0 VM.6                7741441
CAP-0402_100n_10%_X7R_16V        C767                             234   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C769                             239   1   1   1   1 1      1 0 V_MOT.6             7774209
CAP-0402_100n_10%_X7R_16V        C769                             239   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_16V        C776                             242   1   1   1   1 1      1 0 V_H.6               6123521
CAP-0402_100n_10%_X7R_16V        C776                             242   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C201                             356   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C201                             356   1   2   1   1 2      2 0 XSIG011390          4091905
CAP-0402_100n_10%_X7R_50V        C207                             365   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C207                             365   1   2   1   1 2      2 0 XSIG011367          4034561
CAP-0402_100n_10%_X7R_50V        C243                             364   1   1   1   1 1      1 0 U.1                 8126465
CAP-0402_100n_10%_X7R_50V        C243                             364   1   2   1   1 2      2 0 GND                 8224769
