
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
PLD2-60S                         XP101                            244   1  19  19   1 37    37 0 P.4                 5783553
PLD2-60S                         XP101                            244   1  20  20   1 39    39 0 GND                 8224769
PLD2-60S                         XP101                            244   1  21  21   1 41    41 0                        0
PLD2-60S                         XP101                            244   1  22  22   1 43    43 0 P.6                 5750785
PLD2-60S                         XP101                            244   1  23  23   1 45    45 0 P.7                 5754881
PLD2-60S                         XP101                            244   1  24  24   1 47    47 0 P.8                 5767169
PLD2-60S                         XP101                            244   1  25  25   1 49    49 0 GND                 8224769
PLD2-60S                         XP101                            244   1  26  26   1 51    51 0 CANH.1              5758977
PLD2-60S                         XP101                            244   1  27  27   1 53    53 0 CANL.1              5763073
PLD2-60S                         XP101                            244   1  28  28   1 55    55 0 GND                 8224769
PLD2-60S                         XP101                            244   1  29  29   1 57    57 0 CANL.2              5718017
PLD2-60S                         XP101                            244   1  30  30   1 59    59 0 CANH.2              5705729
PLD2-60S                         XP101                            243   1   1   1   2 2      2 0 GND                 8224769
PLD2-60S                         XP101                            243   1   2   2   2 4      4 0                        0
PLD2-60S                         XP101                            243   1   3   3   2 6      6 0 GND                 8224769
PLD2-60S                         XP101                            243   1   4   4   2 8      8 0                        0
PLD2-60S                         XP101                            243   1   5   5   2 10    10 0                        0
PLD2-60S                         XP101                            243   1   6   6   2 12    12 0                        0
PLD2-60S                         XP101                            243   1   7   7   2 14    14 0                        0
PLD2-60S                         XP101                            243   1   8   8   2 16    16 0                        0
PLD2-60S                         XP101                            243   1   9   9   2 18    18 0                        0
PLD2-60S                         XP101                            243   1  10  10   2 20    20 0                        0
PLD2-60S                         XP101                            243   1  11  11   2 22    22 0                        0
PLD2-60S                         XP101                            243   1  12  12   2 24    24 0                        0
PLD2-60S                         XP101                            243   1  13  13   2 26    26 0                        0
PLD2-60S                         XP101                            243   1  14  14   2 28    28 0                        0
PLD2-60S                         XP101                            243   1  15  15   2 30    30 0 GND                 8224769
PLD2-60S                         XP101                            243   1  16  16   2 32    32 0                        0
PLD2-60S                         XP101                            243   1  17  17   2 34    34 0 P.2                 6217729
PLD2-60S                         XP101                            243   1  18  18   2 36    36 0 P.3                 5791745
PLD2-60S                         XP101                            243   1  19  19   2 38    38 0 P.4                 5783553
PLD2-60S                         XP101                            243   1  20  20   2 40    40 0 GND                 8224769
PLD2-60S                         XP101                            243   1  21  21   2 42    42 0                        0
PLD2-60S                         XP101                            243   1  22  22   2 44    44 0 P.6                 5750785
PLD2-60S                         XP101                            243   1  23  23   2 46    46 0 P.7                 5754881
PLD2-60S                         XP101                            243   1  24  24   2 48    48 0 P.8                 5767169
PLD2-60S                         XP101                            243   1  25  25   2 50    50 0 GND                 8224769
PLD2-60S                         XP101                            243   1  26  26   2 52    52 0 CANH.1              5758977
PLD2-60S                         XP101                            243   1  27  27   2 54    54 0 CANL.1              5763073
PLD2-60S                         XP101                            243   1  28  28   2 56    56 0 GND                 8224769
PLD2-60S                         XP101                            243   1  29  29   2 58    58 0 CANL.2              5718017
PLD2-60S                         XP101                            243   1  30  30   2 60    60 0 CANH.2              5705729
PLL-1.27-30S                     XP102                            380   1   1   1   1 1      1 0 GND                 8224769
PLL-1.27-30S                     XP102                            380   1   2   2   1 2      2 0 SWCLK.1             5824513
PLL-1.27-30S                     XP102                            380   1   3   3   1 3      3 0 SWDIO.1             5828609
PLL-1.27-30S                     XP102                            380   1   4   4   1 4      4 0 NRST.1              5832705
PLL-1.27-30S                     XP102                            380   1   5   5   1 5      5 0 V_MPU.1             8282113
PLL-1.27-30S                     XP102                            380   1   6   6   1 6      6 0 GND                 8224769
PLL-1.27-30S                     XP102                            380   1   7   7   1 7      7 0 SWCLK.2             5865473
PLL-1.27-30S                     XP102                            380   1   8   8   1 8      8 0 SWDIO.2             5869569
PLL-1.27-30S                     XP102                            380   1   9   9   1 9      9 0 NRST.2              5873665
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
PLL-1.27-30S                     XP102                            380   1  10  10   1 10    10 0 V_MPU.2             8290305
PLL-1.27-30S                     XP102                            380   1  11  11   1 11    11 0 GND                 8224769
PLL-1.27-30S                     XP102                            380   1  12  12   1 12    12 0 SWCLK.3             5885953
PLL-1.27-30S                     XP102                            380   1  13  13   1 13    13 0 SWDIO.3             5890049
PLL-1.27-30S                     XP102                            380   1  14  14   1 14    14 0 NRST.3              5894145
PLL-1.27-30S                     XP102                            380   1  15  15   1 15    15 0 V_MPU.3             8298497
PLL-1.27-30S                     XP102                            380   1  16  16   1 16    16 0 GND                 8224769
PLL-1.27-30S                     XP102                            380   1  17  17   1 17    17 0 SWCLK.4             5906433
PLL-1.27-30S                     XP102                            380   1  18  18   1 18    18 0 SWDIO.4             5910529
PLL-1.27-30S                     XP102                            380   1  19  19   1 19    19 0 NRST.4              5914625
PLL-1.27-30S                     XP102                            380   1  20  20   1 20    20 0 V_MPU.4             8323073
PLL-1.27-30S                     XP102                            380   1  21  21   1 21    21 0 GND                 8224769
PLL-1.27-30S                     XP102                            380   1  22  22   1 22    22 0 SWCLK.5             5926913
PLL-1.27-30S                     XP102                            380   1  23  23   1 23    23 0 SWDIO.5             5931009
PLL-1.27-30S                     XP102                            380   1  24  24   1 24    24 0 NRST.5              5935105
PLL-1.27-30S                     XP102                            380   1  25  25   1 25    25 0 V_MPU.5             8331265
PLL-1.27-30S                     XP102                            380   1  26  26   1 26    26 0 GND                 8224769
PLL-1.27-30S                     XP102                            380   1  27  27   1 27    27 0 SWCLK.6             5947393
PLL-1.27-30S                     XP102                            380   1  28  28   1 28    28 0 SWDIO.6             5951489
PLL-1.27-30S                     XP102                            380   1  29  29   1 29    29 0 NRST.6              5955585
PLL-1.27-30S                     XP102                            380   1  30  30   1 30    30 0 V_MPU.6             8339457
RES-0402_0                       R245                             536   1   1   1   1 1      1 0 V_MPU.1             8282113
RES-0402_0                       R245                             536   1   2   1   1 2      2 0 V3P3.1              8278017
RES-0402_0                       R345                             535   1   1   1   1 1      1 0 V_MPU.2             8290305
RES-0402_0                       R345                             535   1   2   1   1 2      2 0 V3P3.2              8286209
RES-0402_0                       R445                             534   1   1   1   1 1      1 0 V_MPU.3             8298497
RES-0402_0                       R445                             534   1   2   1   1 2      2 0 V3P3.3              8294401
RES-0402_0                       R545                             533   1   1   1   1 1      1 0 V_MPU.4             8323073
RES-0402_0                       R545                             533   1   2   1   1 2      2 0 V3P3.4              8318977
RES-0402_0                       R645                             532   1   1   1   1 1      1 0 V_MPU.5             8331265
RES-0402_0                       R645                             532   1   2   1   1 2      2 0 V3P3.5              8327169
RES-0402_0                       R745                             531   1   1   1   1 1      1 0 V_MPU.6             8339457
RES-0402_0                       R745                             531   1   2   1   1 2      2 0 V3P3.6              8335361
RES-0402_1.00M_1%                R202                             121   1   1   1   1 1      1 0 XSIG011367          4034561
RES-0402_1.00M_1%                R202                             121   1   2   1   1 2      2 0 XSIG011351          3977217
RES-0402_1.00M_1%                R265                             132   1   1   1   1 1      1 0 VM.1                8146945
RES-0402_1.00M_1%                R265                             132   1   2   1   1 2      2 0 U.1                 8126465
RES-0402_1.00M_1%                R302                             122   1   1   1   1 1      1 0 XSIG011309          3850241
RES-0402_1.00M_1%                R302                             122   1   2   1   1 2      2 0 XSIG011293          3792897
RES-0402_1.00M_1%                R365                             131   1   1   1   1 1      1 0 VM.2                8196097
RES-0402_1.00M_1%                R365                             131   1   2   1   1 2      2 0 U.2                 8097793
RES-0402_1.00M_1%                R402                             123   1   1   1   1 1      1 0 XSIG011249          3665921
RES-0402_1.00M_1%                R402                             123   1   2   1   1 2      2 0 XSIG011233          3608577
RES-0402_1.00M_1%                R465                             130   1   1   1   1 1      1 0 VM.3                8171521
RES-0402_1.00M_1%                R465                             130   1   2   1   1 2      2 0 U.3                 8052737
RES-0402_1.00M_1%                R502                             126   1   1   1   1 1      1 0 XSIG010977          2867201
RES-0402_1.00M_1%                R502                             126   1   2   1   1 2      2 0 XSIG010956          2809857
RES-0402_1.00M_1%                R565                             129   1   1   1   1 1      1 0 VM.4                7897089
RES-0402_1.00M_1%                R565                             129   1   2   1   1 2      2 0 U.4                 7929857
RES-0402_1.00M_1%                R602                             125   1   1   1   1 1      1 0 XSIG011056          3059713
RES-0402_1.00M_1%                R602                             125   1   2   1   1 2      2 0 XSIG011040          3002369
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RES-0402_1.00M_1%                R665                             128   1   1   1   1 1      1 0 VM.5                7843841
RES-0402_1.00M_1%                R665                             128   1   2   1   1 2      2 0 U.5                 7868417
RES-0402_1.00M_1%                R702                             124   1   1   1   1 1      1 0 XSIG011114          3244033
RES-0402_1.00M_1%                R702                             124   1   2   1   1 2      2 0 XSIG011097          3186689
RES-0402_1.00M_1%                R765                             127   1   1   1   1 1      1 0 VM.6                7741441
RES-0402_1.00M_1%                R765                             127   1   2   1   1 2      2 0 U.6                 7778305
RES-0402_2.74M_1%                R262                              96   1   1   1   1 1      1 0 VM.1                8146945
RES-0402_2.74M_1%                R262                              96   1   2   1   1 2      2 0 XSIG010038          139265
RES-0402_2.74M_1%                R362                              95   1   1   1   1 1      1 0 VM.2                8196097
RES-0402_2.74M_1%                R362                              95   1   2   1   1 2      2 0 XSIG010414          1159169
RES-0402_2.74M_1%                R462                              94   1   1   1   1 1      1 0 VM.3                8171521
RES-0402_2.74M_1%                R462                              94   1   2   1   1 2      2 0 XSIG010477          1351681
RES-0402_2.74M_1%                R562                              93   1   1   1   1 1      1 0 VM.4                7897089
RES-0402_2.74M_1%                R562                              93   1   2   1   1 2      2 0 XSIG010531          1523713
RES-0402_2.74M_1%                R662                              92   1   1   1   1 1      1 0 VM.5                7843841
RES-0402_2.74M_1%                R662                              92   1   2   1   1 2      2 0 XSIG010585          1695745
RES-0402_2.74M_1%                R762                              91   1   1   1   1 1      1 0 VM.6                7741441
RES-0402_2.74M_1%                R762                              91   1   2   1   1 2      2 0 XSIG010639          1867777
RES-0402_4.99k_1%                R241                             215   1   1   1   1 1      1 0 XSIG010151          323585
RES-0402_4.99k_1%                R241                             215   1   2   1   1 2      2 0 NRST.1              5832705
RES-0402_4.99k_1%                R243                             216   1   1   1   1 1      1 0 DAC.1               8228865
RES-0402_4.99k_1%                R243                             216   1   2   1   1 2      2 0 GND                 8224769
RES-0402_4.99k_1%                R341                             214   1   1   1   1 1      1 0 XSIG011416          4132865
RES-0402_4.99k_1%                R341                             214   1   2   1   1 2      2 0 NRST.2              5873665
RES-0402_4.99k_1%                R343                             217   1   1   1   1 1      1 0 DAC.2               8232961
RES-0402_4.99k_1%                R343                             217   1   2   1   1 2      2 0 GND                 8224769
RES-0402_4.99k_1%                R441                             213   1   1   1   1 1      1 0 XSIG011518          4472833
RES-0402_4.99k_1%                R441                             213   1   2   1   1 2      2 0 NRST.3              5894145
RES-0402_4.99k_1%                R443                             218   1   1   1   1 1      1 0 DAC.3               8237057
RES-0402_4.99k_1%                R443                             218   1   2   1   1 2      2 0 GND                 8224769
RES-0402_4.99k_1%                R541                             212   1   1   1   1 1      1 0 XSIG011603          4747265
RES-0402_4.99k_1%                R541                             212   1   2   1   1 2      2 0 NRST.4              5914625
RES-0402_4.99k_1%                R543                             219   1   1   1   1 1      1 0 DAC.4               6979585
RES-0402_4.99k_1%                R543                             219   1   2   1   1 2      2 0 GND                 8224769
RES-0402_4.99k_1%                R641                             211   1   1   1   1 1      1 0 XSIG011688          5021697
RES-0402_4.99k_1%                R641                             211   1   2   1   1 2      2 0 NRST.5              5935105
RES-0402_4.99k_1%                R643                             220   1   1   1   1 1      1 0 DAC.5               6967297
RES-0402_4.99k_1%                R643                             220   1   2   1   1 2      2 0 GND                 8224769
RES-0402_4.99k_1%                R741                             210   1   1   1   1 1      1 0 XSIG011773          5296129
RES-0402_4.99k_1%                R741                             210   1   2   1   1 2      2 0 NRST.6              5955585
RES-0402_4.99k_1%                R743                             221   1   1   1   1 1      1 0 DAC.6               6201345
RES-0402_4.99k_1%                R743                             221   1   2   1   1 2      2 0 GND                 8224769
RES-0402_10.0k_1%                R201                             305   1   1   1   1 1      1 0 XSIG011350          3973121
RES-0402_10.0k_1%                R201                             305   1   2   1   1 2      2 0 XSIG011367          4034561
RES-0402_10.0k_1%                R301                             306   1   1   1   1 1      1 0 XSIG011292          3788801
RES-0402_10.0k_1%                R301                             306   1   2   1   1 2      2 0 XSIG011309          3850241
RES-0402_10.0k_1%                R401                             307   1   1   1   1 1      1 0 XSIG011232          3604481
RES-0402_10.0k_1%                R401                             307   1   2   1   1 2      2 0 XSIG011249          3665921
RES-0402_10.0k_1%                R501                             310   1   1   1   1 1      1 0 XSIG010955          2805761
RES-0402_10.0k_1%                R501                             310   1   2   1   1 2      2 0 XSIG010977          2867201
RES-0402_10.0k_1%                R601                             309   1   1   1   1 1      1 0 XSIG011039          2998273
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RES-0402_10.0k_1%                R601                             309   1   2   1   1 2      2 0 XSIG011056          3059713
RES-0402_10.0k_1%                R701                             308   1   1   1   1 1      1 0 XSIG011096          3182593
RES-0402_10.0k_1%                R701                             308   1   2   1   1 2      2 0 XSIG011114          3244033
RES-0402_24.9k_1%                R244                             381   1   1   1   1 1      1 0 DAC.1               8228865
RES-0402_24.9k_1%                R244                             381   1   2   1   1 2      2 0 XSIG012763          8122369
RES-0402_24.9k_1%                R344                             382   1   1   1   1 1      1 0 DAC.2               8232961
RES-0402_24.9k_1%                R344                             382   1   2   1   1 2      2 0 XSIG012755          8093697
RES-0402_24.9k_1%                R444                             383   1   1   1   1 1      1 0 DAC.3               8237057
RES-0402_24.9k_1%                R444                             383   1   2   1   1 2      2 0 XSIG012751          8077313
RES-0402_24.9k_1%                R544                             384   1   1   1   1 1      1 0 DAC.4               6979585
RES-0402_24.9k_1%                R544                             384   1   2   1   1 2      2 0 XSIG012588          7634945
RES-0402_24.9k_1%                R644                             385   1   1   1   1 1      1 0 DAC.5               6967297
RES-0402_24.9k_1%                R644                             385   1   2   1   1 2      2 0 XSIG012387          6963201
RES-0402_24.9k_1%                R744                             386   1   1   1   1 1      1 0 DAC.6               6201345
RES-0402_24.9k_1%                R744                             386   1   2   1   1 2      2 0 XSIG012064          6193153
RES-0402_100_1%                  R281                             492   1   1   1   1 1      1 0 T8_CH3.1            8564737
RES-0402_100_1%                  R281                             492   1   2   1   1 2      2 0 XSIG012932          8572929
RES-0402_100_1%                  R282                             491   1   1   1   1 1      1 0 T8_CH3N.1           8568833
RES-0402_100_1%                  R282                             491   1   2   1   1 2      2 0 XSIG012586          7626753
RES-0402_100_1%                  R283                             490   1   1   1   1 1      1 0 T8_CH2.1            8556545
RES-0402_100_1%                  R283                             490   1   2   1   1 2      2 0 XSIG012929          8560641
RES-0402_100_1%                  R284                             489   1   1   1   1 1      1 0 T8_CH2N.1           7618561
RES-0402_100_1%                  R284                             489   1   2   1   1 2      2 0 XSIG012583          7614465
RES-0402_100_1%                  R285                             488   1   1   1   1 1      1 0 T8_CH1.1            8548353
RES-0402_100_1%                  R285                             488   1   2   1   1 2      2 0 XSIG012927          8552449
RES-0402_100_1%                  R286                             487   1   1   1   1 1      1 0 T8_CH1N.1           7946241
RES-0402_100_1%                  R286                             487   1   2   1   1 2      2 0 XSIG012581          7606273
RES-0402_100_1%                  R381                             498   1   1   1   1 1      1 0 T8_CH3.2            8523777
RES-0402_100_1%                  R381                             498   1   2   1   1 2      2 0 XSIG012915          8527873
RES-0402_100_1%                  R382                             497   1   1   1   1 1      1 0 T8_CH3N.2           8515585
RES-0402_100_1%                  R382                             497   1   2   1   1 2      2 0 XSIG012528          7421953
RES-0402_100_1%                  R383                             496   1   1   1   1 1      1 0 T8_CH2.2            8519681
RES-0402_100_1%                  R383                             496   1   2   1   1 2      2 0 XSIG012916          8531969
RES-0402_100_1%                  R384                             495   1   1   1   1 1      1 0 T8_CH2N.2           7413761
RES-0402_100_1%                  R384                             495   1   2   1   1 2      2 0 XSIG012525          7409665
RES-0402_100_1%                  R385                             494   1   1   1   1 1      1 0 T8_CH1.2            8536065
RES-0402_100_1%                  R385                             494   1   2   1   1 2      2 0 XSIG012918          8540161
RES-0402_100_1%                  R386                             493   1   1   1   1 1      1 0 T8_CH1N.2           7950337
RES-0402_100_1%                  R386                             493   1   2   1   1 2      2 0 XSIG012523          7401473
RES-0402_100_1%                  R481                             504   1   1   1   1 1      1 0 T8_CH3.3            8486913
RES-0402_100_1%                  R481                             504   1   2   1   1 2      2 0 XSIG012902          8491009
RES-0402_100_1%                  R482                             503   1   1   1   1 1      1 0 T8_CH3N.3           8482817
RES-0402_100_1%                  R482                             503   1   2   1   1 2      2 0 XSIG012469          7217153
RES-0402_100_1%                  R483                             502   1   1   1   1 1      1 0 T8_CH2.3            8495105
RES-0402_100_1%                  R483                             502   1   2   1   1 2      2 0 XSIG012904          8499201
RES-0402_100_1%                  R484                             501   1   1   1   1 1      1 0 T8_CH2N.3           7208961
RES-0402_100_1%                  R484                             501   1   2   1   1 2      2 0 XSIG012465          7204865
RES-0402_100_1%                  R485                             500   1   1   1   1 1      1 0 T8_CH1.3            8503297
RES-0402_100_1%                  R485                             500   1   2   1   1 2      2 0 XSIG012906          8507393
RES-0402_100_1%                  R486                             499   1   1   1   1 1      1 0 T8_CH1N.3           7954433
RES-0402_100_1%                  R486                             499   1   2   1   1 2      2 0 XSIG012462          7196673
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RES-0402_100_1%                  R581                             480   1   1   1   1 1      1 0 T8_CH3.4            8458241
RES-0402_100_1%                  R581                             480   1   2   1   1 2      2 0 XSIG012892          8474625
RES-0402_100_1%                  R582                             479   1   1   1   1 1      1 0 T8_CH3N.4           8470529
RES-0402_100_1%                  R582                             479   1   2   1   1 2      2 0 XSIG012247          6721537
RES-0402_100_1%                  R583                             478   1   1   1   1 1      1 0 T8_CH2.4            8462337
RES-0402_100_1%                  R583                             478   1   2   1   1 2      2 0 XSIG012890          8466433
RES-0402_100_1%                  R584                             477   1   1   1   1 1      1 0 T8_CH2N.4           6713345
RES-0402_100_1%                  R584                             477   1   2   1   1 2      2 0 XSIG012243          6709249
RES-0402_100_1%                  R585                             512   1   1   1   1 1      1 0 T8_CH1.4            8450049
RES-0402_100_1%                  R585                             512   1   2   1   1 2      2 0 XSIG012882          8454145
RES-0402_100_1%                  R586                             511   1   1   1   1 1      1 0 T8_CH1N.4           7942145
RES-0402_100_1%                  R586                             511   1   2   1   1 2      2 0 XSIG012240          6701057
RES-0402_100_1%                  R681                             510   1   1   1   1 1      1 0 T8_CH3.5            8441857
RES-0402_100_1%                  R681                             510   1   2   1   1 2      2 0 XSIG012876          8445953
RES-0402_100_1%                  R682                             509   1   1   1   1 1      1 0 T8_CH3N.5           8421377
RES-0402_100_1%                  R682                             509   1   2   1   1 2      2 0 XSIG012309          6926337
RES-0402_100_1%                  R683                             508   1   1   1   1 1      1 0 T8_CH2.5            8433665
RES-0402_100_1%                  R683                             508   1   2   1   1 2      2 0 XSIG012874          8437761
RES-0402_100_1%                  R684                             507   1   1   1   1 1      1 0 T8_CH2N.5           6918145
RES-0402_100_1%                  R684                             507   1   2   1   1 2      2 0 XSIG012305          6914049
RES-0402_100_1%                  R685                             506   1   1   1   1 1      1 0 T8_CH1.5            8425473
RES-0402_100_1%                  R685                             506   1   2   1   1 2      2 0 XSIG012871          8429569
RES-0402_100_1%                  R686                             505   1   1   1   1 1      1 0 T8_CH1N.5           7823361
RES-0402_100_1%                  R686                             505   1   2   1   1 2      2 0 XSIG012302          6905857
RES-0402_100_1%                  R781                             486   1   1   1   1 1      1 0 T8_CH3.6            8409089
RES-0402_100_1%                  R781                             486   1   2   1   1 2      2 0 XSIG012864          8417281
RES-0402_100_1%                  R782                             485   1   1   1   1 1      1 0 T8_CH3N.6           8413185
RES-0402_100_1%                  R782                             485   1   2   1   1 2      2 0 XSIG012185          6516737
RES-0402_100_1%                  R783                             484   1   1   1   1 1      1 0 T8_CH2.6            8400897
RES-0402_100_1%                  R783                             484   1   2   1   1 2      2 0 XSIG012861          8404993
RES-0402_100_1%                  R784                             483   1   1   1   1 1      1 0 T8_CH2N.6           6508545
RES-0402_100_1%                  R784                             483   1   2   1   1 2      2 0 XSIG012182          6504449
RES-0402_100_1%                  R785                             482   1   1   1   1 1      1 0 T8_CH1.6            8392705
RES-0402_100_1%                  R785                             482   1   2   1   1 2      2 0 XSIG012859          8396801
RES-0402_100_1%                  R786                             481   1   1   1   1 1      1 0 T8_CH1N.6           6500353
RES-0402_100_1%                  R786                             481   1   2   1   1 2      2 0 XSIG012180          6496257
RES-0402_249k_1%                 R242                             108   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R242                             108   1   2   1   1 2      2 0 U.1                 8126465
RES-0402_249k_1%                 R263                             113   1   1   1   1 1      1 0 XSIG010038          139265
RES-0402_249k_1%                 R263                             113   1   2   1   1 2      2 0 DAC.1               8228865
RES-0402_249k_1%                 R264                             120   1   1   1   1 1      1 0 XSIG010038          139265
RES-0402_249k_1%                 R264                             120   1   2   1   1 2      2 0 XSIG010041          147457
RES-0402_249k_1%                 R267                              99   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R267                              99   1   2   1   1 2      2 0 PA5.1               8163329
RES-0402_249k_1%                 R342                             107   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R342                             107   1   2   1   1 2      2 0 U.2                 8097793
RES-0402_249k_1%                 R363                             112   1   1   1   1 1      1 0 XSIG010414          1159169
RES-0402_249k_1%                 R363                             112   1   2   1   1 2      2 0 DAC.2               8232961
RES-0402_249k_1%                 R364                             119   1   1   1   1 1      1 0 XSIG010414          1159169
RES-0402_249k_1%                 R364                             119   1   2   1   1 2      2 0 XSIG010417          1167361
RES-0402_249k_1%                 R367                              97   1   1   1   1 1      1 0 GND                 8224769
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
RES-0402_249k_1%                 R367                              97   1   2   1   1 2      2 0 PA5.2               8212481
RES-0402_249k_1%                 R442                             106   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R442                             106   1   2   1   1 2      2 0 U.3                 8052737
RES-0402_249k_1%                 R463                             111   1   1   1   1 1      1 0 XSIG010477          1351681
RES-0402_249k_1%                 R463                             111   1   2   1   1 2      2 0 DAC.3               8237057
RES-0402_249k_1%                 R464                             118   1   1   1   1 1      1 0 XSIG010477          1351681
RES-0402_249k_1%                 R464                             118   1   2   1   1 2      2 0 XSIG010480          1359873
RES-0402_249k_1%                 R467                              98   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R467                              98   1   2   1   1 2      2 0 PA5.3               8187905
RES-0402_249k_1%                 R542                             105   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R542                             105   1   2   1   1 2      2 0 U.4                 7929857
RES-0402_249k_1%                 R563                             110   1   1   1   1 1      1 0 XSIG010531          1523713
RES-0402_249k_1%                 R563                             110   1   2   1   1 2      2 0 DAC.4               6979585
RES-0402_249k_1%                 R564                             117   1   1   1   1 1      1 0 XSIG010531          1523713
RES-0402_249k_1%                 R564                             117   1   2   1   1 2      2 0 XSIG010534          1531905
RES-0402_249k_1%                 R567                             100   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R567                             100   1   2   1   1 2      2 0 PA4.5               7938049
RES-0402_249k_1%                 R642                             104   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R642                             104   1   2   1   1 2      2 0 U.5                 7868417
RES-0402_249k_1%                 R663                             109   1   1   1   1 1      1 0 XSIG010585          1695745
RES-0402_249k_1%                 R663                             109   1   2   1   1 2      2 0 DAC.5               6967297
RES-0402_249k_1%                 R664                             116   1   1   1   1 1      1 0 XSIG010585          1695745
RES-0402_249k_1%                 R664                             116   1   2   1   1 2      2 0 XSIG010588          1703937
RES-0402_249k_1%                 R667                             101   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R667                             101   1   2   1   1 2      2 0 PA5.5               7860225
RES-0402_249k_1%                 R742                             103   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R742                             103   1   2   1   1 2      2 0 U.6                 7778305
RES-0402_249k_1%                 R763                             114   1   1   1   1 1      1 0 XSIG010639          1867777
RES-0402_249k_1%                 R763                             114   1   2   1   1 2      2 0 DAC.6               6201345
RES-0402_249k_1%                 R764                             115   1   1   1   1 1      1 0 XSIG010639          1867777
RES-0402_249k_1%                 R764                             115   1   2   1   1 2      2 0 XSIG010642          1875969
RES-0402_249k_1%                 R767                             102   1   1   1   1 1      1 0 GND                 8224769
RES-0402_249k_1%                 R767                             102   1   2   1   1 2      2 0 PA5.6               7770113
RES-0402_301k_1%                 R203                             311   1   1   1   1 1      1 0 XSIG011351          3977217
RES-0402_301k_1%                 R203                             311   1   2   1   1 2      2 0 GND                 8224769
RES-0402_301k_1%                 R303                             312   1   1   1   1 1      1 0 XSIG011293          3792897
RES-0402_301k_1%                 R303                             312   1   2   1   1 2      2 0 GND                 8224769
RES-0402_301k_1%                 R403                             313   1   1   1   1 1      1 0 XSIG011233          3608577
RES-0402_301k_1%                 R403                             313   1   2   1   1 2      2 0 GND                 8224769
RES-0402_301k_1%                 R503                             316   1   1   1   1 1      1 0 XSIG010956          2809857
RES-0402_301k_1%                 R503                             316   1   2   1   1 2      2 0 GND                 8224769
RES-0402_301k_1%                 R603                             315   1   1   1   1 1      1 0 XSIG011040          3002369
RES-0402_301k_1%                 R603                             315   1   2   1   1 2      2 0 GND                 8224769
RES-0402_301k_1%                 R703                             314   1   1   1   1 1      1 0 XSIG011097          3186689
RES-0402_301k_1%                 R703                             314   1   2   1   1 2      2 0 GND                 8224769
RES-0805_0.1_1%                  R266                             515   1   1   1   1 1      1 0 VM.1R               8577025
RES-0805_0.1_1%                  R266                             515   1   2   1   1 2      2 0 VM.1                8146945
RES-0805_0.1_1%                  R366                             513   1   1   1   1 1      1 0 VM.2R               8544257
RES-0805_0.1_1%                  R366                             513   1   2   1   1 2      2 0 VM.2                8196097
